Show Number, Air Date, Round, Category, Value, Question, Answer
5243,2007-05-30,Jeopardy!,"YOU'RE UNDER A ""REST""","$200","Eastern European capital city of more than 2.2 million","Bucharest"
5243,2007-05-30,Jeopardy!,"AMERICAN AUTHORS","$400","In 1884 she moved to Red Cloud, Nebraska & later fictionalized it as the town of Hanover in ""O Pioneers!""","Willa Cather"
5243,2007-05-30,Jeopardy!,"BEGINNING & END","$3,000","In 2006 it began on July 1 in Strasbourg & ended on July 23 in Paris","the Tour de France"
5243,2007-05-30,Jeopardy!,"STATE SUPERLATIVES","$400","With 6,640 miles of coast, this state has the longest shoreline","Alaska"
5243,2007-05-30,Jeopardy!,"3 LITTLE LETTERS","$400","(<a href=""http://www.j-archive.com/media/2007-05-30_J_09.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from the Catalina Island Conservancy.</a>) Rampant use of this 3-letter insecticide lead to a hefty settlement for restorating the population of Catalina's <a href=""http://www.j-archive.com/media/2007-05-30_J_09a.jpg"" target=""_blank"">bald eagles</a>","DDT"
5243,2007-05-30,Jeopardy!,"CALL OUT THE VOICE SQUAD","$400","(<a href=""http://www.j-archive.com/media/2007-05-30_J_27.jpg"" target=""_blank"">Hi, I'm Harry Shearer.</a>) Among my many ""Simpsons"" voices are the subservient Smithers & this man who lives next door to Homer--Howdy, neighbor","Ned Flanders"
5243,2007-05-30,Jeopardy!,"YOU'RE UNDER A ""REST""","$400","Any mountain's summit","crest"
5243,2007-05-30,Jeopardy!,"AMERICAN AUTHORS","$600","(<a href=""http://www.j-archive.com/media/2007-05-30_J_16.jpg"" target=""_blank"">Alex reports from the Mark Twain House.</a>) Mark Twain said that this anti-slavery <a href=""http://www.j-archive.com/media/2007-05-30_J_16a.jpg"" target=""_blank"">novelist</a>, his next-door neighbor, liked to sneak up behind people and ""fetch a war-whoop that would jump that person out of his clothes""","(Harriet Beecher) Stowe"
5243,2007-05-30,Jeopardy!,"BEGINNING & END","$600","""From"" this to this is an idiom meaning from the start of a meal (or something else) to the end","from soup to nuts"
5243,2007-05-30,Jeopardy!,"STATE SUPERLATIVES","$600","It pumps more than one million barrels of oil a day, more than any other state","Texas"
5243,2007-05-30,Jeopardy!,"3 LITTLE LETTERS","$600","""Day to Day"" & ""All Things Considered"" are among the programs going out to its 26 million listeners","NPR"
5243,2007-05-30,Jeopardy!,"CALL OUT THE VOICE SQUAD","$600","The voice of Daffy Duck (for the first 50 years)","Mel Blanc"
5243,2007-05-30,Jeopardy!,"YOU'RE UNDER A ""REST""","$600","A braced framework for carrying a railroad over a chasm","a trestle"
5243,2007-05-30,Jeopardy!,"AMERICAN AUTHORS","$800","Under the name Laura Bancroft, he wrote about Twinkle & Chubbins in Nature Fairyland after taking us to Oz","L. Frank Baum"
5243,2007-05-30,Jeopardy!,"BEGINNING & END","$800","These titles of the <a href=""http://www.j-archive.com/media/2007-05-30_J_17.jpg"" target=""_blank"">2 paintings</a> <a href=""http://www.j-archive.com/media/2007-05-30_J_17a.jpg"" target=""_blank"">seen here</a> represent the beginning & end of Jesus' life","""The Nativity"" & ""The Crucifixion"""
5243,2007-05-30,Jeopardy!,"STATE SUPERLATIVES","$800","Considered the healthiest state in 2006, it's also home to the Mayo Clinic","Minnesota"
5243,2007-05-30,Jeopardy!,"3 LITTLE LETTERS","$800","Its headquarters compound in Langley, Virginia is named for Former President George Bush","the CIA"
5243,2007-05-30,Jeopardy!,"CALL OUT THE VOICE SQUAD","$800","He voiced Puss In Boots in ""Shrek 2""","Antonio Banderas"
5243,2007-05-30,Jeopardy!,"YOU'RE UNDER A ""REST""","$800","Quickly! (to an Italian)","Presto"
5243,2007-05-30,Jeopardy!,"AMERICAN AUTHORS","$1000","William Rose Benet won a Pulitzer for ""The Dust Which Is God"", & this brother won for ""John Brown's Body""","Stephen Vincent Benet"
5243,2007-05-30,Jeopardy!,"BEGINNING & END","$1000","(<a href=""http://www.j-archive.com/media/2007-05-30_J_20.jpg"" target=""_blank"">Cheryl of the Clue Crew indicates the monitor.</a>) A porkchop plot, named for its shape, is used for planning space missions; the vertical & horizontal <a href=""http://www.j-archive.com/media/2007-05-30_J_20a.jpg"" target=""_blank"">axes</a> plot possible dates for these 2 flight events","takeoff & landing (or launch & arrival)"
5243,2007-05-30,Jeopardy!,"STATE SUPERLATIVES","$1000","Its Boeing manufacturing plant in Everett is the world's largest building by volume","Washington"
5243,2007-05-30,Jeopardy!,"3 LITTLE LETTERS","$1000","A TV cable network, or an explosive for bombs","TNT"
5243,2007-05-30,Jeopardy!,"CALL OUT THE VOICE SQUAD","$1000","He provided the voices of both Beavis & Butthead","Mike Judge"
5243,2007-05-30,Jeopardy!,"YOU'RE UNDER A ""REST""","$1000","The son of Agamemnon, he avenged his father's death by killing his mother Clytemnestra","Orestes"
5243,2007-05-30,Double Jeopardy!,"EARLY AMERICA","$400","In 1718 this Texas town was founded by Martin de Alarcon & Father Olivares & named for St. Anthony of Padua","San Antonio"
5243,2007-05-30,Double Jeopardy!,"BEST PICTURE OSCAR-WINNERS IN OTHER WORDS","$400","1980: ""Regular Folks""","Ordinary People"
5243,2007-05-30,Double Jeopardy!,"DOWN MEXICO WAY","$400","In 1986 Mexico scored as the first country to host this international sports competition twice","the World Cup"
5243,2007-05-30,Double Jeopardy!,"TAKE A PILL","$400","Going on a cruise? You might pick up this Pfizer product, the ""original"" or ""less drowsy"" formula","Dramamine"
5243,2007-05-30,Double Jeopardy!,"TRANSPORTATION","$400","The bestselling passenger car of all time is this company's Corolla","Toyota"
5243,2007-05-30,Double Jeopardy!,"AN E FOR AN I","$400","A Hawaiian wreath becomes an area sheltered from wind","a lei & a lee"
5243,2007-05-30,Double Jeopardy!,"EARLY AMERICA","$800","In defending British soldiers on trial for this 1770 event, John Adams said, ""Facts are stubborn things""","the Boston Massacre"
5243,2007-05-30,Double Jeopardy!,"BEST PICTURE OSCAR-WINNERS IN OTHER WORDS","$800","1932: ""Magnificent Inn""","Grand Hotel"
5243,2007-05-30,Double Jeopardy!,"DOWN MEXICO WAY","$800","This resort city about 200 miles southwest of Mexico City is famous for its cliff divers","Acapulco"
5243,2007-05-30,Double Jeopardy!,"TAKE A PILL","$800","Antabuse is designed to make you feel really, really bad after ingesting this","alcohol"
5243,2007-05-30,Double Jeopardy!,"TRANSPORTATION","$800","The transport for a 19th century double date might have been a barouche, one of these","a carriage"
5243,2007-05-30,Double Jeopardy!,"AN E FOR AN I","$800","A ""landing"" area is transformed into a serious throat infection","strep & strip"
5243,2007-05-30,Double Jeopardy!,"EARLY AMERICA","$1200","In 1685 he joined his father in pastorship of the Old North Church, a post he held until his death","Cotton Mather"
5243,2007-05-30,Double Jeopardy!,"BEST PICTURE OSCAR-WINNERS IN OTHER WORDS","$1200","1976: ""A Single Colorado Mountain""","Rocky"
5243,2007-05-30,Double Jeopardy!,"DOWN MEXICO WAY","$1200","Founded in the 1530s, this capital of Jalisco state is the second-largest in Mexico","Guadalajara"
5243,2007-05-30,Double Jeopardy!,"TAKE A PILL","$1200","Estramustine is a chemotherapy agent for this glandular cancer in men","prostate cancer"
5243,2007-05-30,Double Jeopardy!,"TRANSPORTATION","$1200","Cabbies in this Eur. city spend 2 years gaining ""the knowledge"", mental maps needed to get a license","London"
5243,2007-05-30,Double Jeopardy!,"AN E FOR AN I","$4,000","""Gentle"" becomes ""to blend""","mild & meld"
5243,2007-05-30,Double Jeopardy!,"EARLY AMERICA","$1600","In 1562, in what is now S.C., these French Protestants established a colony named Port Royal","the Huguenots"
5243,2007-05-30,Double Jeopardy!,"BEST PICTURE OSCAR-WINNERS IN OTHER WORDS","$1600","1954: ""Dockside""","On the Waterfront"
5243,2007-05-30,Double Jeopardy!,"DOWN MEXICO WAY","$1600","This gritty 1961 Tennessee Williams play unfolds in a seedy Mexican hotel","Night of the Iguana"
5243,2007-05-30,Double Jeopardy!,"TAKE A PILL","$1600","Pravastatin aims to block your body's ability to make this","cholesterol"
5243,2007-05-30,Double Jeopardy!,"TRANSPORTATION","$1600","In ""Sixteen Candles"", Molly Ringwald says, ""I loathe"" this method of transport","the bus"
5243,2007-05-30,Double Jeopardy!,"AN E FOR AN I","$1600","One means ""severely tested""; the other, ""trapped on a branch""","tried & treed"
5243,2007-05-30,Double Jeopardy!,"EARLY AMERICA","$2000","In ""Of Plymouth Plantation"", he wrote that there was so much disease ""the living were scarce able to bury the dead""","William Bradford"
5243,2007-05-30,Double Jeopardy!,"BEST PICTURE OSCAR-WINNERS IN OTHER WORDS","$2000","1966: ""One Bloke Year-Round""","A Man For All Seasons"
5243,2007-05-30,Double Jeopardy!,"DOWN MEXICO WAY","$2000","This popular resort island lies north of Cozumel off the coast of the state of Quintana Roo","Cancun"
5243,2007-05-30,Double Jeopardy!,"TAKE A PILL","$2000","This tranquilizer that sounds like a village was introduced in 1955 & became the USA's bestselling drug","Miltown"
5243,2007-05-30,Double Jeopardy!,"TRANSPORTATION","$1,000","Since 1899 these stalwart animals used in transport have served as the mascots of the Army Corps of Cadets","mules"
5243,2007-05-30,Double Jeopardy!,"AN E FOR AN I","$2000","""To replenish"" becomes ""to knock down""","to fill & to fell"
5243,2007-05-30,Final Jeopardy!,"THE BRITISH THEATRE","None","Richard Attenborough, who was in the original 1952 cast of this play, helped celebrate its performance No. 20,000 in 2000","The Mousetrap"
3036,1997-11-10,Jeopardy!,"AT THE KENNEDY CENTER","$100","Can you hear me?  This rock opera by The Who was a big hit at the Kennedy Center in 1994","Tommy"
3036,1997-11-10,Jeopardy!,"NATIONAL MONUMENTS","$100","George Custer's men are buried in a cemetery in the national monument named for this river","Little Bighorn"
3036,1997-11-10,Jeopardy!,"THE CIRCUS","$100","Trainers shout, ""Tail Up!"" when they want these performers to follow each other trunk to tail","Elephants"
3036,1997-11-10,Jeopardy!,"ON THE RADIO","$100","Radio abbreviation that precedes the name of rap figures Quik, Pooh & Jazzy Jeff","DJ"
3036,1997-11-10,Jeopardy!,"CELEB STUFF","$100","On March 2, 1977 he made his first ""Tonight Show"" appearance; on May 25, 1992 he took over as host","Jay Leno"
3036,1997-11-10,Jeopardy!,"COMMON BONDS","$100","Door, Nobel, booby","prizes"
3036,1997-11-10,Jeopardy!,"AT THE KENNEDY CENTER","$200","In 1995 Luigi Bonino starred in a ballet about this ""Little Tramp"" of silent films","Charlie Chaplin"
3036,1997-11-10,Jeopardy!,"NATIONAL MONUMENTS","$200","Scotts Bluff National Monument lies in western Nebraska on this pioneer trail","Oregon Trail"
3036,1997-11-10,Jeopardy!,"THE CIRCUS","$200","It's the familiar term for a circus' largest tent, where the main show appears","the big top"
3036,1997-11-10,Jeopardy!,"ON THE RADIO","$200","Robin Quivers is the radio consort of this self-proclaimed  ""King of All Media""","Howard Stern"
3036,1997-11-10,Jeopardy!,"CELEB STUFF","$1,500","(<a href=""http://www.j-archive.com/media/1997-11-10_J_17.jpg"" target=""_blank"">Hi, I'm Bob Eubanks.</a>)  Tea Leoni ran into this ""X-Files"" star at the Golden Globes & soon they were newlyweds","David Duchovny"
3036,1997-11-10,Jeopardy!,"COMMON BONDS","$200","Inner tubes, doughnuts, the ozone layer","things with holes"
3036,1997-11-10,Jeopardy!,"AT THE KENNEDY CENTER","$300","This president's 1972 visit to China inspired an opera that played at the Kennedy Center in 1988","Richard Nixon"
3036,1997-11-10,Jeopardy!,"NATIONAL MONUMENTS","$300","Seminole Indian leader Osceola is buried at this fort where the Civil War began","Fort Sumter"
3036,1997-11-10,Jeopardy!,"THE CIRCUS","$300","Pink is the most popular color of this fluffy confection made from spun sugar","cotton candy"
3036,1997-11-10,Jeopardy!,"ON THE RADIO","$300","Call letters east of the Mississippi generally start with W; in the west, most start with this","K"
3036,1997-11-10,Jeopardy!,"CELEB STUFF","$300","People Magazine called his 1997 solo album ""Destination Anywhere"", ""Tres Bon""","Jon Bon Jovi"
3036,1997-11-10,Jeopardy!,"COMMON BONDS","$300","Peeling onions, watching Mel Gibson's film ""Forever Young"", missing Final Jeopardy!","things that make you cry"
3036,1997-11-10,Jeopardy!,"AT THE KENNEDY CENTER","$400","Every December, the Kennedy Center invites the public to a free sing-along of this composer's ""Messiah""","G.F. Handel"
3036,1997-11-10,Jeopardy!,"NATIONAL MONUMENTS","$400","This Wyoming monument contains an 865-foot-high fluted column of igneous rock","Devils Tower"
3036,1997-11-10,Jeopardy!,"THE CIRCUS","$400","Antoinette Concello's triple somersault helped make her the ""Queen of"" this ""flying"" apparatus","trapeze"
3036,1997-11-10,Jeopardy!,"ON THE RADIO","$400","Detroit-born broadcaster who created ""American Top 40"" & now has his own weekly ""Countdown""","Casey Kasem"
3036,1997-11-10,Jeopardy!,"CELEB STUFF","$400","In a 1997 issue of ""George"", he said his cousins Michael & Joseph were ""poster boys for bad behavior""","John F. Kennedy, Jr."
3036,1997-11-10,Jeopardy!,"COMMON BONDS","$400","Bobby, bowling,  rolling","pins"
3036,1997-11-10,Jeopardy!,"AT THE KENNEDY CENTER","$500","A 1994 festival honoring this country featured the Tjapukai Aboriginal Dance Company","Australia"
3036,1997-11-10,Jeopardy!,"NATIONAL MONUMENTS","$500","Castillo de San Marcos in this Florida city is the oldest masonry fort in the continental U.S.","St. Augustine"
3036,1997-11-10,Jeopardy!,"THE CIRCUS","$500","This steam whistle organ draws crowds to circus parades because it can be heard from miles away: [audio clue]","calliope"
3036,1997-11-10,Jeopardy!,"ON THE RADIO","$500","The AAA format, featuring artists like the Cranberries & Tom Petty, stands for adult album this","alternative"
3036,1997-11-10,Jeopardy!,"CELEB STUFF","$500","Her 1988 major label debut album was ""Y Kant Tori Read""","Tori Amos"
3036,1997-11-10,Jeopardy!,"COMMON BONDS","$500","Hollywood, salad, Super","bowls"
3036,1997-11-10,Double Jeopardy!,"THE OBLIGATORY POETRY CATEGORY","$200","The one word quothed by Edgar Allan Poe's raven","""Nevermore!"""
3036,1997-11-10,Double Jeopardy!,"ART","$200","You can't make a genuine tempera painting without breaking these","eggs"
3036,1997-11-10,Double Jeopardy!,"THE REDCOATS ARE COMING!","$200","On Sept. 5, 1781, 24 of this country's ships engaged British ships in Cheaspeake Bay & turned them back","France"
3036,1997-11-10,Double Jeopardy!,"""HIGH"" SCHOOL","$200","Chuck Taylor, from whom Converse named a line of these shoes, was a basketball star of the 1910s","high-tops"
3036,1997-11-10,Double Jeopardy!,"OFF TO A GOOD START","$200","It's the go-ahead in a kid's game & for a car at an intersection","a green light"
3036,1997-11-10,Double Jeopardy!,"COLLEGE MASCOTS","$200","<a href=""http://www.j-archive.com/media/1997-11-10_DJ_20.jpg"" target=""_blank"">[video clue]</a>","Oregon State University"
3036,1997-11-10,Double Jeopardy!,"THE OBLIGATORY POETRY CATEGORY","$400","It follows ""Poems are made by fools like me...""","""But only God can make a tree"""
3036,1997-11-10,Double Jeopardy!,"ART","$400","Surrealists used odd juxtapositions in this form whose name is French for ""gluing""","collage"
3036,1997-11-10,Double Jeopardy!,"THE REDCOATS ARE COMING!","$400","During the war, this first signer of the Declaration of Independence commanded the Mass. Militia","John Hancock"
3036,1997-11-10,Double Jeopardy!,"""HIGH"" SCHOOL","$400","The L.A. Dodgers & the U. of Louisville basketball team pioneered this gesture in the late '70s","the high five"
3036,1997-11-10,Double Jeopardy!,"OFF TO A GOOD START","$400","A baker who never uses packaged mixes always ""starts from"" here","scratch"
3036,1997-11-10,Double Jeopardy!,"COLLEGE MASCOTS","$400","<a href=""http://www.j-archive.com/media/1997-11-10_DJ_27.jpg"" target=""_blank"">[video clue]</a>","the University of Florida"
3036,1997-11-10,Double Jeopardy!,"THE OBLIGATORY POETRY CATEGORY","$600","In preparing to write this poem, Longfellow used ""An historical and statistical account of Nova Scotia""","Evangeline"
3036,1997-11-10,Double Jeopardy!,"ART","$600","Edward Steichen led the movement to recognize as art these images, whose name means ""drawn with light""","photographs"
3036,1997-11-10,Double Jeopardy!,"THE REDCOATS ARE COMING!","$600","In it, Thomas Paine wrote, ""The cause of America is in a great measure the cause of all mankind""","Common Sense"
3036,1997-11-10,Double Jeopardy!,"""HIGH"" SCHOOL","$2,000","Coastal waters beyond national jurisdiction, or the tops of some sopranos' ranges","High seas/C's"
3036,1997-11-10,Double Jeopardy!,"OFF TO A GOOD START","$600","It's a ship at home in the Arctic, or a remark that starts a conversation","an icebreaker"
3036,1997-11-10,Double Jeopardy!,"COLLEGE MASCOTS","$600","<a href=""http://www.j-archive.com/media/1997-11-10_DJ_28.jpg"" target=""_blank"">[video clue]</a>","the University of Texas"
3036,1997-11-10,Double Jeopardy!,"THE OBLIGATORY POETRY CATEGORY","$800","In a poem titled for the date when Germany invaded Poland, W.H. Auden called this ""A low dishonest decade""","1930s"
3036,1997-11-10,Double Jeopardy!,"ART","$1,800","17th century Flemish master known for painting women like the one seen <a href=""http://www.j-archive.com/media/1997-11-10_DJ_13.jpg"" target=""_blank"">here</a>:","Peter Paul Rubens"
3036,1997-11-10,Double Jeopardy!,"THE REDCOATS ARE COMING!","$800","The Battle of Long Island was fought in what is now this New York City borough","Brooklyn"
3036,1997-11-10,Double Jeopardy!,"""HIGH"" SCHOOL","$800","The HD in the new digital format HDTV stands for this","high definition"
3036,1997-11-10,Double Jeopardy!,"OFF TO A GOOD START","$800","It begins a football game or a special event like a political campaign","the kickoff"
3036,1997-11-10,Double Jeopardy!,"THE OBLIGATORY POETRY CATEGORY","$1000","Observing pilgrims traveling to the shrine of Thomas Becket inspired him to write his greatest work","Geoffrey Chaucer (The Canterbury Tales)"
3036,1997-11-10,Double Jeopardy!,"ART","$1000","In 1920 this impressionist, known for his water lilies, painted another plant, ""Wisteria""","Claude Monet"
3036,1997-11-10,Double Jeopardy!,"THE REDCOATS ARE COMING!","$1000","The British ferried 2,200 troops across this river to battle the Americans at Bunker Hill","the Charles River"
3036,1997-11-10,Double Jeopardy!,"""HIGH"" SCHOOL","$1000","Acolytes, a subdeacon & a choir take part in this Catholic service","high mass"
3036,1997-11-10,Double Jeopardy!,"OFF TO A GOOD START","$1000","In a business project, it's the level investors try to ""get in on""","the ground floor (or the ground level)"
3036,1997-11-10,Final Jeopardy!,"THE CONSTITUTION","None","Word completing the line ""Nor shall any person be subject for the same offense to be twice put in"" this","Jeopardy"
4107,2002-06-11,Jeopardy!,"THRILLER","$200","This author's techno-thriller ""Rainbow Six"" focuses on John Clark, also a hero in ""Clear & Present Danger""","Tom Clancy"
4107,2002-06-11,Jeopardy!,"BEN","$200","Ben Franklin went to London in 1757 to represent this colony's assembly","Pennsylvania"
4107,2002-06-11,Jeopardy!,"""BLACK"" OR ""WHITE""","$200","Name shared by a Sauk chief famous for his war & a U.S. military helicopter","Black Hawk"
4107,2002-06-11,Jeopardy!,"REMEMBER THE TIME","$200","In 1958 this country launched its second 5-year plan, called ""The Great Leap Forward""","China"
4107,2002-06-11,Jeopardy!,"ROCK WITH YOU","$200","This Jackson 5 (& later Mariah Carey) hit begins, ""You & I must make a pact, we must bring salvation back...""","""I'll Be There"""
4107,2002-06-11,Jeopardy!,"EAT IT!","$200","This Hormel product was once simply known as ""spiced ham""","Spam"
4107,2002-06-11,Jeopardy!,"THRILLER","$400","This author made a University of Virginia law professor the protagonist of his 2002 novel ""The Summons""","(John) Grisham"
4107,2002-06-11,Jeopardy!,"BEN","$400","This publication that Ben first put out in 1732 often sold 10,000 copies a year","Poor Richard's Almanack"
4107,2002-06-11,Jeopardy!,"""BLACK"" OR ""WHITE""","$400","This ""Golden Girl"" had her own show in 1958 & 1977 & in 1999 became part of the cast of ""Ladies Man""","Betty White"
4107,2002-06-11,Jeopardy!,"REMEMBER THE TIME","$400","In 960 Mieczyslaw I became the first ruler of this country","Poland"
4107,2002-06-11,Jeopardy!,"ROCK WITH YOU","$400","Jakob Dylan, the son of Bob Dylan, is the frontman for this group","The Wallflowers"
4107,2002-06-11,Jeopardy!,"EAT IT!","$400","It's the Spanish-named appetizer of tortilla chips & often beans, beef & onions topped with melted cheese","nachos"
4107,2002-06-11,Jeopardy!,"THRILLER","$600","You were born to identify this author of ""The Bourne Identity""","(Robert) Ludlum"
4107,2002-06-11,Jeopardy!,"BEN","$600","In 1783 Franklin asked Congress to recall him from this country; he finally made it home in 1785","France"
4107,2002-06-11,Jeopardy!,"""BLACK"" OR ""WHITE""","$600","People have asked why the whole airplane isn't made out of the same material as this ""indestructible"" device","the black box"
4107,2002-06-11,Jeopardy!,"REMEMBER THE TIME","$600","In 1526 he greeted an Inca nobleman on his ship, but conquest would have to wait a few years until funds were raised","Pizarro"
4107,2002-06-11,Jeopardy!,"ROCK WITH YOU","$600","Eric Clapton charted 3 times with this song: in 1971, 1972 & 1992","""Layla"""
4107,2002-06-11,Jeopardy!,"EAT IT!","$600","Paper-thin & often served for dessert, it's the French equivalent of a pancake","crêpes"
4107,2002-06-11,Jeopardy!,"THRILLER","$800","""The Numa Files"" are paperback spin-offs of this writer's novels featuring Dirk Pitt","Clive Cussler"
4107,2002-06-11,Jeopardy!,"BEN","$800","Current events of 1751 included the appearance of Ben's scientific work ""Experiments and Observations on"" this","""Electricity"""
4107,2002-06-11,Jeopardy!,"""BLACK"" OR ""WHITE""","$800","John Archibald Wheeler coined this term in the '60s for a collapsed star so dense, no light can escape it","black hole"
4107,2002-06-11,Jeopardy!,"REMEMBER THE TIME","$800","In 1998 U.S. cruise missiles hit this African country in response to bombings of U.S. embassies","Sudan"
4107,2002-06-11,Jeopardy!,"ROCK WITH YOU","$800","She's the single-named Colombian pop star heard <a href=""http://www.j-archive.com/media/2002-06-11_J_06.mp3"">here</a>","Shakira"
4107,2002-06-11,Jeopardy!,"EAT IT!","$800","(<a href=""http://www.j-archive.com/media/2002-06-11_J_11.wmv"">Jimmy of the Clue Crew gets ready to eat skewered meat.</a>)  This Asian favorite, sometimes chicken, sometimes beef, is usually served with a spicy peanut sauce","satay"
4107,2002-06-11,Jeopardy!,"THRILLER","$1000","""The Attorney"" Paul Madriani appears in several legal thrillers by this lawyer-turned-author","Steve Martini"
4107,2002-06-11,Jeopardy!,"BEN","$1,600","The Hutchinson Letters scandal got Ben fired as deputy this in 1774","postmaster general"
4107,2002-06-11,Jeopardy!,"""BLACK"" OR ""WHITE""","$1000","Famous landmark composed of chalk in the county of Kent in England","the White Cliffs of Dover"
4107,2002-06-11,Jeopardy!,"REMEMBER THE TIME","$1000","This 1904-1905 war began in Manchuria & ended with the battle of Tsushima Strait","Russo-Japanese War"
4107,2002-06-11,Jeopardy!,"ROCK WITH YOU","$1000","Quit your yellin' & name this 1995 hit duet for Michael & Janet Jackson, their first together","""Scream"""
4107,2002-06-11,Jeopardy!,"EAT IT!","$1000","Traditionally, shepherd's pie contains this meat, ground or diced","lamb"
4107,2002-06-11,Double Jeopardy!,"SCOTLAND","$400","About 80,000 Scots still speak the Scottish version of this ancient Celtic language","Gaelic"
4107,2002-06-11,Double Jeopardy!,"BABY BOOMER MEMORIES","$400","In 1960 this Democrat spoke first in the first televised U.S. presidential election debate","John F. Kennedy"
4107,2002-06-11,Double Jeopardy!,"SOMETHING'S FISHY","$400","So as not to confuse it with the mammal, this fish is commonly referred to as mahi-mahi","a dolphinfish"
4107,2002-06-11,Double Jeopardy!,"""T""ELEVISION","$400","Running for 5 years, it starred William Shatner as a hard-nosed veteran police officer","T.J. Hooker"
4107,2002-06-11,Double Jeopardy!,"WORLD RELIGION","$400","In the presence of the Adi Granth, the sacred book of the Sikhs, you cover your head & remove these","your shoes"
4107,2002-06-11,Double Jeopardy!,"SORTA SOUNDS LIKE OPRAH?","$400","Bizet's ""Carmen"", for example","an opera"
4107,2002-06-11,Double Jeopardy!,"SCOTLAND","$800","Ben More, Ben Alder & Ben Macdui are not people but tall ones of these in Scotland","mountains"
4107,2002-06-11,Double Jeopardy!,"BABY BOOMER MEMORIES","$800","Likely containing a sandwich, the first of these depicting a TV character came along in 1950 with Hopalong Cassidy","a lunchbox"
4107,2002-06-11,Double Jeopardy!,"SOMETHING'S FISHY","$800","The black type of this fish with a woman's name is a striking addition to any aquarium","a molly"
4107,2002-06-11,Double Jeopardy!,"""T""ELEVISION","$800","Reminiscent of ""Highway to Heaven"", this popular series stars Roma Downey & Della Reese","Touched by an Angel"
4107,2002-06-11,Double Jeopardy!,"WORLD RELIGION","$800","Sukkot, a Jewish festival, began as a harvest celebration & was a model for this centuries-old American holiday","Thanksgiving"
4107,2002-06-11,Double Jeopardy!,"SORTA SOUNDS LIKE OPRAH?","$800","Phrase that precedes ""dope"" in Ali's famed boxing strategy","""rope-a"""
4107,2002-06-11,Double Jeopardy!,"SCOTLAND","$1200","Defeated at Dunsinane by Malcolm in 1054, he wasn't dethroned until killed by Malcolm in 1057","Macbeth"
4107,2002-06-11,Double Jeopardy!,"BABY BOOMER MEMORIES","$1200","The John Birch Society coined the term comsymp, short for this","Communist sympathizer"
4107,2002-06-11,Double Jeopardy!,"SOMETHING'S FISHY","$3,000","Less than half an inch long, this tiniest fish is found in the Indian Ocean, not in an Asian desert","a goby"
4107,2002-06-11,Double Jeopardy!,"""T""ELEVISION","$1200","This offbeat series on E! provides a daily recap of funny chat show highlights","Talk Soup"
4107,2002-06-11,Double Jeopardy!,"WORLD RELIGION","$1200","As they were partial to using hymns, these brothers, Charles & John, were the first rhythm Methodists","the Wesleys"
4107,2002-06-11,Double Jeopardy!,"SORTA SOUNDS LIKE OPRAH?","$1200","In an Irish battle cry, these 2 words follow ""Erin""","""Go Bragh"""
4107,2002-06-11,Double Jeopardy!,"SCOTLAND","$1600","The Church of Scotland, the country's national church, is a branch of this Christian denomination","Presbyterian"
4107,2002-06-11,Double Jeopardy!,"BABY BOOMER MEMORIES","$1600","In a heartbreaking scene, Travis has to kill his beloved dog in this 1957 film based on a Fred Gipson book","Old Yeller"
4107,2002-06-11,Double Jeopardy!,"SOMETHING'S FISHY","$1600","Until one was caught in 1938, it was thought that this fish had been extinct for more than 70 million years","the coelacanth"
4107,2002-06-11,Double Jeopardy!,"""T""ELEVISION","$1600","He's the large & goofy title TV superhero seen <a href=""http://www.j-archive.com/media/2002-06-11_DJ_04.wmv"">here</a>   <i>""Probably that one. The balcony...""</i>","The Tick"
4107,2002-06-11,Double Jeopardy!,"WORLD RELIGION","$1600","Meaning ""sign of God"", it's the title of a Shi'ite Muslim scholar & leader","Ayatollah"
4107,2002-06-11,Double Jeopardy!,"SORTA SOUNDS LIKE OPRAH?","$1600","(<a href=""http://www.j-archive.com/media/2002-06-11_DJ_19.jpg"" target=""_blank"">Jeff Probst reports from the Marquesas.</a>)  One of Nuku Hiva's main exports is this--dried coconut meat","copra"
4107,2002-06-11,Double Jeopardy!,"SCOTLAND","$2,000","Hundreds of years old, the de facto national flag features this saint's cross","Andrew"
4107,2002-06-11,Double Jeopardy!,"BABY BOOMER MEMORIES","$2000","In 1967 this 21-year-old started Rolling Stone magazine","Jann Wenner"
4107,2002-06-11,Double Jeopardy!,"SOMETHING'S FISHY","$2000","It springs to mind that there's a Florida city named for this game fish seen <a href=""http://www.j-archive.com/media/2002-06-11_DJ_10.jpg"" target=""_blank"">here</a>","tarpon"
4107,2002-06-11,Double Jeopardy!,"""T""ELEVISION","$2000","Co-hosted by John Davidson, it was ABC's response to NBC's ""Real People""","That's Incredible!"
4107,2002-06-11,Double Jeopardy!,"WORLD RELIGION","$2000","Made up of 1,028 hymns in 10 books, it's the oldest of the Vedas in Hinduism","Rigveda"
4107,2002-06-11,Double Jeopardy!,"SORTA SOUNDS LIKE OPRAH?","$2000","In 2001 this author of ""The Seven Spiritual Laws of Success"" published ""The  Deeper Wound""","(Deepak) Chopra"
4107,2002-06-11,Final Jeopardy!,"GEOGRAPHIC PHRASES","None","This common term originated in the early 1500s with the book ""De Rebus Oceanicis et Novo Orbe""","the New World"
